,Date,S&P500,MEDCPIM158SFRBCLE,EFFR,FinBERT_Score
0,2014-12-01,2078.54,2.3833942455642,0.12,-0.456695
1,2015-01-01,2058.2,1.94752959883826,0.12,-0.455177
2,2015-02-01,2020.85,1.95449451571832,0.11,-0.455177
3,2015-03-01,2117.39,2.4333359263674295,0.11,-0.455177
4,2015-04-01,2059.69,2.96265053867684,0.12,-0.455177
5,2015-05-01,2108.29,2.5012910991095,0.12,-0.455177
6,2015-06-01,2111.73,2.9723995643109196,0.13,-0.455177
7,2015-07-01,2077.42,1.9220253006031691,0.13,-0.455177
8,2015-08-01,2098.04,1.63579063211565,0.14,-0.455177
9,2015-09-01,1913.85,2.99841569275872,0.14,-0.455177
10,2015-10-01,1923.82,2.28316449144805,0.12,-0.455177
11,2015-11-01,2104.05,2.2654806001265,0.12,-0.455177
12,2015-12-01,2102.63,1.8347196962381895,0.23,-0.455177
13,2016-01-01,2012.66,2.70841659132004,0.36,-0.456891
14,2016-02-01,1939.38,2.53771440127248,0.37,-0.456891
15,2016-03-01,1978.35,2.22200455864592,0.36,-0.456891
16,2016-04-01,2072.78,3.8254778833095098,0.37,-0.456891
17,2016-05-01,2081.43,3.2805191880404,0.37,-0.456891
18,2016-06-01,2099.33,2.10339046055212,0.38,-0.456891
19,2016-07-01,2102.95,2.49016471097936,0.4,-0.456891
20,2016-08-01,2170.84,2.74257089079208,0.4,-0.456891
21,2016-09-01,2170.86,2.49832933493122,0.39,-0.456891
22,2016-10-01,2161.2,2.01802556175075,0.4,-0.456891
23,2016-11-01,2111.72,2.45883151623452,0.41,-0.456891
24,2016-12-01,2191.08,2.03838510774881,0.54,-0.456891
25,2017-01-01,2257.83,3.4363057748294294,0.66,-0.442388
26,2017-02-01,2279.55,3.2923463387532204,0.66,-0.442388
27,2017-03-01,2395.96,1.91438367511723,0.79,-0.442388
28,2017-04-01,2358.84,1.55365836257901,0.91,-0.442388
29,2017-05-01,2388.33,2.1132188709843502,0.91,-0.442388
30,2017-06-01,2430.06,1.8968337862046691,1.04,-0.442388
31,2017-07-01,2429.01,2.1220936834140702,1.16,-0.442388
32,2017-08-01,2476.35,2.27475798765204,1.16,-0.442388
33,2017-09-01,2476.55,2.8702567714483,1.16,-0.442388
34,2017-10-01,2529.12,2.4249630240346502,1.16,-0.442388
35,2017-11-01,2579.36,2.42039295861358,1.16,-0.442388
36,2017-12-01,2642.22,2.95574718908234,1.3,-0.442388
37,2018-01-01,2695.81,4.17000041826154,1.42,-0.443913
38,2018-02-01,2821.98,2.0132793455486695,1.42,-0.443913
39,2018-03-01,2677.67,1.961900073725389,1.51,-0.443913
40,2018-04-01,2581.88,2.93200914809488,1.69,-0.443913
41,2018-05-01,2654.8,2.9818325508401204,1.7,-0.443913
42,2018-06-01,2734.62,2.6321178885371204,1.82,-0.443913
43,2018-07-01,2726.71,2.1114939144998495,1.91,-0.443913
44,2018-08-01,2813.36,2.2967112867851,1.91,-0.443913
45,2018-09-01,2896.72,2.3337233555462205,1.95,-0.443913
46,2018-10-01,2924.59,2.60626268747923,2.19,-0.443913
47,2018-11-01,2740.37,3.7237636017007696,2.2,-0.443913
48,2018-12-01,2790.37,2.9117770150544304,2.27,-0.443913
49,2019-01-01,2510.03,2.88960472562634,2.4,-0.442248
50,2019-02-01,2706.53,2.9782176262610895,2.4,-0.442248
51,2019-03-01,2803.69,3.2102411483228703,2.4,-0.442248
52,2019-04-01,2867.19,2.82946232379089,2.42,-0.442248
53,2019-05-01,2923.73,2.5585351456762795,2.39,-0.442248
54,2019-06-01,2744.45,2.9631049949516894,2.38,-0.442248
55,2019-07-01,2964.33,3.2008888117851098,2.4,-0.442248
56,2019-08-01,2953.56,2.6257566309874503,2.13,-0.442248
57,2019-09-01,2906.27,2.5044028464577406,2.05,-0.442248
58,2019-10-01,2940.25,2.67072730886815,1.83,-0.442248
59,2019-11-01,3066.91,3.2778581013518595,1.55,-0.442248
60,2019-12-01,3113.87,2.52541708194376,1.55,-0.442248
61,2020-01-01,3257.85,3.61068769265118,1.55,-0.481045
62,2020-02-01,3248.92,2.88679127209464,1.58,-0.481045
63,2020-03-01,3090.23,2.96074316871415,0.63,-0.481045
64,2020-04-01,2470.5,2.1808665290540294,0.05,-0.481045
65,2020-05-01,2830.71,2.89879142211011,0.05,-0.481045
66,2020-06-01,3055.73,1.83456486942399,0.08,-0.481045
67,2020-07-01,3115.86,3.4431359083352895,0.09,-0.481045
68,2020-08-01,3294.61,2.6071155139936,0.09,-0.481045
69,2020-09-01,3526.65,1.14434137828776,0.09,-0.481045
70,2020-10-01,3380.8,1.82057568973273,0.09,-0.481045
71,2020-11-01,3310.24,1.45986298697687,0.09,-0.481045
72,2020-12-01,3662.45,1.44368888695681,0.09,-0.481045
73,2021-01-01,3700.65,1.2061813435216202,0.09,-0.525172
74,2021-02-01,3773.86,2.78567284418365,0.08,-0.525172
75,2021-03-01,3901.82,2.18812333278768,0.07,-0.525172
76,2021-04-01,4019.87,2.8980231665139504,0.07,-0.525172
77,2021-05-01,4192.66,3.3730910133644,0.06,-0.525172
78,2021-06-01,4202.04,3.663084885277,0.08,-0.525172
79,2021-07-01,4319.94,3.1200841239386,0.1,-0.525172
80,2021-08-01,4387.16,4.1119800164652895,0.09,-0.525172
81,2021-09-01,4524.09,5.377588744797009,0.08,-0.525172
82,2021-10-01,4357.04,6.9144991502176,0.08,-0.525172
83,2021-11-01,4613.67,5.4362077706412,0.08,-0.525172
84,2021-12-01,4513.04,4.9315583293090715,0.08,-0.525172
85,2022-01-01,4796.56,6.4077835826954495,0.08,-0.509144
